GEO_ID,NAME,Total_Pop,Employer_Insurance,Direct_Purchase,Medicare,Medicaid,TRICARE,VA,Uninsured
08059009832,Census Tract 98.32; Jefferson County; Colorado,2285,297,623,577,573,81,55,97
08059009833,Census Tract 98.33; Jefferson County; Colorado,5603,754,1312,1136,1370,109,124,559
08059009834,Census Tract 98.34; Jefferson County; Colorado,4592,798,1289,1131,948,65,163,323
08059009835,Census Tract 98.35; Jefferson County; Colorado,3421,617,531,480,477,65,30,159
08059009836,Census Tract 98.36; Jefferson County; Colorado,3947,674,722,748,516,197,6,153
08059009837,Census Tract 98.37; Jefferson County; Colorado,8574,1676,1120,1153,1253,65,0,512
08059009838,Census Tract 98.38; Jefferson County; Colorado,5244,1065,729,771,654,33,0,324
08059009839,Census Tract 98.39; Jefferson County; Colorado,2245,497,338,355,303,25,0,96
08059009840,Census Tract 98.40; Jefferson County; Colorado,3423,548,779,774,732,52,14,172
08059009841,Census Tract 98.41; Jefferson County; Colorado,2064,245,394,371,384,46,51,122
08059009842,Census Tract 98.42; Jefferson County; Colorado,3201,709,243,234,251,12,8,79
08059009845,Census Tract 98.45; Jefferson County; Colorado,4123,810,181,206,126,19,0,293
08059009846,Census Tract 98.46; Jefferson County; Colorado,4990,813,755,523,389,129,61,543
08059009847,Census Tract 98.47; Jefferson County; Colorado,3362,874,318,380,222,74,0,267
08059009848,Census Tract 98.48; Jefferson County; Colorado,2589,433,310,270,190,58,0,349
08059009850,Census Tract 98.50; Jefferson County; Colorado,2531,432,295,271,192,52,15,174
08059009851,Census Tract 98.51; Jefferson County; Colorado,3854,441,348,471,294,22,31,571
08059009852,Census Tract 98.52; Jefferson County; Colorado,4888,985,712,665,584,82,20,204
08059009853,Census Tract 98.53; Jefferson County; Colorado,2695,697,237,221,143,50,0,89
08059009854,Census Tract 98.54; Jefferson County; Colorado,5252,900,1261,1030,723,189,50,265
08059009855,Census Tract 98.55; Jefferson County; Colorado,3043,540,735,617,579,74,0,271
08059009856,Census Tract 98.56; Jefferson County; Colorado,2707,142,1103,1171,783,195,67,180
08059009857,Census Tract 98.57; Jefferson County; Colorado,2945,533,927,840,532,286,40,260
08059009858,Census Tract 98.58; Jefferson County; Colorado,3605,436,430,472,332,44,60,303
08059009901,Census Tract 99.01; Jefferson County; Colorado,3192,362,1686,1528,1038,288,34,266
08059010001,Census Tract 100.01; Jefferson County; Colorado,3286,317,1261,1053,763,276,106,235
08059010100,Census Tract 101; Jefferson County; Colorado,4846,236,2009,1817,1498,267,93,567
08059010205,Census Tract 102.05; Jefferson County; Colorado,2521,456,312,278,222,68,53,135
08059010206,Census Tract 102.06; Jefferson County; Colorado,4098,516,987,881,704,74,63,367
08059010208,Census Tract 102.08; Jefferson County; Colorado,5559,840,1348,1428,1311,102,26,255
08059010209,Census Tract 102.09; Jefferson County; Colorado,7130,604,1384,1140,1584,170,74,326
08059010210,Census Tract 102.10; Jefferson County; Colorado,3187,378,575,594,560,79,24,304
08059010211,Census Tract 102.11; Jefferson County; Colorado,2936,305,439,451,674,0,38,59
08059010212,Census Tract 102.12; Jefferson County; Colorado,4201,418,1146,1022,1074,56,178,323
08059010213,Census Tract 102.13; Jefferson County; Colorado,4574,447,1257,1229,1083,176,66,346
08059010303,Census Tract 103.03; Jefferson County; Colorado,5269,646,1034,948,602,116,159,511
08059010304,Census Tract 103.04; Jefferson County; Colorado,2322,219,597,599,545,57,3,191
08059010305,Census Tract 103.05; Jefferson County; Colorado,3510,324,1064,911,870,60,202,166
08059010306,Census Tract 103.06; Jefferson County; Colorado,2640,364,373,399,392,8,8,85
08059010307,Census Tract 103.07; Jefferson County; Colorado,4615,514,1484,1459,1332,148,92,326
08059010308,Census Tract 103.08; Jefferson County; Colorado,7062,802,2013,1817,1511,288,253,528
08059010402,Census Tract 104.02; Jefferson County; Colorado,5428,327,2041,1801,1616,91,248,326
08059010403,Census Tract 104.03; Jefferson County; Colorado,5525,696,1653,1434,1561,125,203,253
08059010405,Census Tract 104.05; Jefferson County; Colorado,2903,140,1290,1185,986,86,56,148
08059010406,Census Tract 104.06; Jefferson County; Colorado,2873,55,1033,947,977,113,113,140
08059010502,Census Tract 105.02; Jefferson County; Colorado,5262,258,1160,1158,1169,70,52,370
