GEO_ID,NAME,Avg_HH_Size
08059010604,Census Tract 106.04; Jefferson County; Colorado,2.21
08059010701,Census Tract 107.01; Jefferson County; Colorado,1.86
08059010702,Census Tract 107.02; Jefferson County; Colorado,2.15
08059010801,Census Tract 108.01; Jefferson County; Colorado,2.23
08059010901,Census Tract 109.01; Jefferson County; Colorado,2.46
08059010902,Census Tract 109.02; Jefferson County; Colorado,1.94
08059011000,Census Tract 110; Jefferson County; Colorado,2.44
08059011101,Census Tract 111.01; Jefferson County; Colorado,2.17
08059011102,Census Tract 111.02; Jefferson County; Colorado,2.03
08059011202,Census Tract 112.02; Jefferson County; Colorado,2.48
08059011300,Census Tract 113; Jefferson County; Colorado,2.11
08059011401,Census Tract 114.01; Jefferson County; Colorado,1.91
08059011402,Census Tract 114.02; Jefferson County; Colorado,1.96
08059011551,Census Tract 115.51; Jefferson County; Colorado,1.99
08059011552,Census Tract 115.52; Jefferson County; Colorado,2.16
08059011601,Census Tract 116.01; Jefferson County; Colorado,3.0
08059011602,Census Tract 116.02; Jefferson County; Colorado,2.32
08059011701,Census Tract 117.01; Jefferson County; Colorado,2.3
08059011702,Census Tract 117.02; Jefferson County; Colorado,2.39
08059011708,Census Tract 117.08; Jefferson County; Colorado,2.51
08059011709,Census Tract 117.09; Jefferson County; Colorado,2.09
08059011710,Census Tract 117.10; Jefferson County; Colorado,1.96
08059011711,Census Tract 117.11; Jefferson County; Colorado,2.19
08059011712,Census Tract 117.12; Jefferson County; Colorado,2.29
08059011720,Census Tract 117.20; Jefferson County; Colorado,2.52
08059011721,Census Tract 117.21; Jefferson County; Colorado,2.44
08059011723,Census Tract 117.23; Jefferson County; Colorado,1.95
08059011724,Census Tract 117.24; Jefferson County; Colorado,2.77
08059011725,Census Tract 117.25; Jefferson County; Colorado,2.34
08059011726,Census Tract 117.26; Jefferson County; Colorado,2.49
08059011727,Census Tract 117.27; Jefferson County; Colorado,2.51
08059011728,Census Tract 117.28; Jefferson County; Colorado,2.29
08059011729,Census Tract 117.29; Jefferson County; Colorado,1.93
08059011730,Census Tract 117.30; Jefferson County; Colorado,2.14
08059011731,Census Tract 117.31; Jefferson County; Colorado,2.19
08059011732,Census Tract 117.32; Jefferson County; Colorado,2.05
08059011733,Census Tract 117.33; Jefferson County; Colorado,1.78
08059011803,Census Tract 118.03; Jefferson County; Colorado,2.9
08059011804,Census Tract 118.04; Jefferson County; Colorado,2.44
08059011806,Census Tract 118.06; Jefferson County; Colorado,2.11
08059011807,Census Tract 118.07; Jefferson County; Colorado,1.66
08059011808,Census Tract 118.08; Jefferson County; Colorado,1.56
08059011904,Census Tract 119.04; Jefferson County; Colorado,1.9
08059011951,Census Tract 119.51; Jefferson County; Colorado,2.01
08059012022,Census Tract 120.22; Jefferson County; Colorado,2.5
08059012023,Census Tract 120.23; Jefferson County; Colorado,2.27
