GEO_ID,Tract_Name,County,Total_Households,No_Internet_HH,Pct_No_Internet
08059011720,"Census Tract 117.20, Jefferson County, CO",Jefferson County,2063,0,0.0
08059011721,"Census Tract 117.21, Jefferson County, CO",Jefferson County,1220,42,3.4
08059011723,"Census Tract 117.23, Jefferson County, CO",Jefferson County,1825,27,1.5
08059011724,"Census Tract 117.24, Jefferson County, CO",Jefferson County,2808,62,2.2
08059011725,"Census Tract 117.25, Jefferson County, CO",Jefferson County,766,10,1.3
08059011726,"Census Tract 117.26, Jefferson County, CO",Jefferson County,2130,150,7.0
08059011727,"Census Tract 117.27, Jefferson County, CO",Jefferson County,1475,39,2.6
08059011728,"Census Tract 117.28, Jefferson County, CO",Jefferson County,1149,0,0.0
08059011729,"Census Tract 117.29, Jefferson County, CO",Jefferson County,2127,51,2.4
08059011730,"Census Tract 117.30, Jefferson County, CO",Jefferson County,1552,100,6.4
08059011731,"Census Tract 117.31, Jefferson County, CO",Jefferson County,2017,78,3.9
08059011732,"Census Tract 117.32, Jefferson County, CO",Jefferson County,2432,87,3.6
08059011733,"Census Tract 117.33, Jefferson County, CO",Jefferson County,1214,14,1.2
08059011803,"Census Tract 118.03, Jefferson County, CO",Jefferson County,2164,104,4.8
08059011804,"Census Tract 118.04, Jefferson County, CO",Jefferson County,1663,45,2.7
08059011806,"Census Tract 118.06, Jefferson County, CO",Jefferson County,2250,159,7.1
08059011807,"Census Tract 118.07, Jefferson County, CO",Jefferson County,1594,40,2.5
08059011808,"Census Tract 118.08, Jefferson County, CO",Jefferson County,1584,0,0.0
08059011904,"Census Tract 119.04, Jefferson County, CO",Jefferson County,1573,91,5.8
08059011951,"Census Tract 119.51, Jefferson County, CO",Jefferson County,1875,128,6.8
08059012022,"Census Tract 120.22, Jefferson County, CO",Jefferson County,2269,58,2.6
08059012023,"Census Tract 120.23, Jefferson County, CO",Jefferson County,1329,0,0.0
08059012024,"Census Tract 120.24, Jefferson County, CO",Jefferson County,2324,0,0.0
08059012026,"Census Tract 120.26, Jefferson County, CO",Jefferson County,1379,20,1.5
08059012027,"Census Tract 120.27, Jefferson County, CO",Jefferson County,1175,12,1.0
08059012030,"Census Tract 120.30, Jefferson County, CO",Jefferson County,1517,58,3.8
08059012031,"Census Tract 120.31, Jefferson County, CO",Jefferson County,1454,18,1.2
08059012032,"Census Tract 120.32, Jefferson County, CO",Jefferson County,1034,12,1.2
08059012033,"Census Tract 120.33, Jefferson County, CO",Jefferson County,1123,71,6.3
08059012034,"Census Tract 120.34, Jefferson County, CO",Jefferson County,1532,0,0.0
08059012035,"Census Tract 120.35, Jefferson County, CO",Jefferson County,1755,0,0.0
08059012036,"Census Tract 120.36, Jefferson County, CO",Jefferson County,1280,69,5.4
08059012037,"Census Tract 120.37, Jefferson County, CO",Jefferson County,1602,70,4.4
08059012038,"Census Tract 120.38, Jefferson County, CO",Jefferson County,1250,61,4.9
08059012039,"Census Tract 120.39, Jefferson County, CO",Jefferson County,2039,29,1.4
08059012041,"Census Tract 120.41, Jefferson County, CO",Jefferson County,2032,34,1.7
08059012042,"Census Tract 120.42, Jefferson County, CO",Jefferson County,1372,32,2.3
08059012043,"Census Tract 120.43, Jefferson County, CO",Jefferson County,2441,39,1.6
08059012044,"Census Tract 120.44, Jefferson County, CO",Jefferson County,1535,0,0.0
08059012045,"Census Tract 120.45, Jefferson County, CO",Jefferson County,2151,62,2.9
08059012046,"Census Tract 120.46, Jefferson County, CO",Jefferson County,803,40,5.0
08059012047,"Census Tract 120.47, Jefferson County, CO",Jefferson County,1710,24,1.4
08059012048,"Census Tract 120.48, Jefferson County, CO",Jefferson County,948,56,5.9
08059012049,"Census Tract 120.49, Jefferson County, CO",Jefferson County,1408,29,2.1
08059012050,"Census Tract 120.50, Jefferson County, CO",Jefferson County,1905,3,0.2
08059012051,"Census Tract 120.51, Jefferson County, CO",Jefferson County,1366,57,4.2
08059012052,"Census Tract 120.52, Jefferson County, CO",Jefferson County,2009,0,0.0
08059012053,"Census Tract 120.53, Jefferson County, CO",Jefferson County,1518,5,0.3
08059012054,"Census Tract 120.54, Jefferson County, CO",Jefferson County,1541,19,1.2
08059012055,"Census Tract 120.55, Jefferson County, CO",Jefferson County,1471,0,0.0
08059012057,"Census Tract 120.57, Jefferson County, CO",Jefferson County,2560,178,7.0
08059012058,"Census Tract 120.58, Jefferson County, CO",Jefferson County,1530,29,1.9
08059012059,"Census Tract 120.59, Jefferson County, CO",Jefferson County,1253,7,0.6
08059012060,"Census Tract 120.60, Jefferson County, CO",Jefferson County,1407,12,0.9
08059015800,"Census Tract 158, Jefferson County, CO",Jefferson County,2120,99,4.7
08059015900,"Census Tract 159, Jefferson County, CO",Jefferson County,1454,65,4.5
08059060300,"Census Tract 603, Jefferson County, CO",Jefferson County,1587,43,2.7
08059060400,"Census Tract 604, Jefferson County, CO",Jefferson County,2197,23,1.0
08059060501,"Census Tract 605.01, Jefferson County, CO",Jefferson County,3651,24,0.7
08059980000,"Census Tract 9800, Jefferson County, CO",Jefferson County,0,0,
08059980400,"Census Tract 9804, Jefferson County, CO",Jefferson County,0,0,
08059980700,"Census Tract 9807, Jefferson County, CO",Jefferson County,0,0,
08059980800,"Census Tract 9808, Jefferson County, CO",Jefferson County,0,0,
