GEO_ID,NAME,Total_Pop
08059012041,Census Tract 120.41; Jefferson County; Colorado,5251
08059012042,Census Tract 120.42; Jefferson County; Colorado,3929
08059012043,Census Tract 120.43; Jefferson County; Colorado,5829
08059012044,Census Tract 120.44; Jefferson County; Colorado,3796
08059012045,Census Tract 120.45; Jefferson County; Colorado,5820
08059012046,Census Tract 120.46; Jefferson County; Colorado,1944
08059012047,Census Tract 120.47; Jefferson County; Colorado,4312
08059012048,Census Tract 120.48; Jefferson County; Colorado,2079
08059012049,Census Tract 120.49; Jefferson County; Colorado,3511
08059012050,Census Tract 120.50; Jefferson County; Colorado,3946
08059012051,Census Tract 120.51; Jefferson County; Colorado,4052
08059012052,Census Tract 120.52; Jefferson County; Colorado,5710
08059012053,Census Tract 120.53; Jefferson County; Colorado,4397
08059012054,Census Tract 120.54; Jefferson County; Colorado,3798
08059012055,Census Tract 120.55; Jefferson County; Colorado,3695
08059012057,Census Tract 120.57; Jefferson County; Colorado,5992
08059012058,Census Tract 120.58; Jefferson County; Colorado,3843
08059012059,Census Tract 120.59; Jefferson County; Colorado,3556
08059012060,Census Tract 120.60; Jefferson County; Colorado,3181
08059015800,Census Tract 158; Jefferson County; Colorado,4189
08059015900,Census Tract 159; Jefferson County; Colorado,3671
08059060300,Census Tract 603; Jefferson County; Colorado,4157
08059060400,Census Tract 604; Jefferson County; Colorado,6139
08059060501,Census Tract 605.01; Jefferson County; Colorado,11152
08059980000,Census Tract 9800; Jefferson County; Colorado,0
08059980400,Census Tract 9804; Jefferson County; Colorado,771
08059980700,Census Tract 9807; Jefferson County; Colorado,0
08059980800,Census Tract 9808; Jefferson County; Colorado,0
