GEO_ID,Tract_Name,County,Total_Pop,Pop_65plus,Pct_65plus
08001008561,"Census Tract 85.61, Adams County, CO",Adams County,5190,1645,31.7
08001008562,"Census Tract 85.62, Adams County, CO",Adams County,6089,542,8.9
08001008563,"Census Tract 85.63, Adams County, CO",Adams County,4807,188,3.9
08001008564,"Census Tract 85.64, Adams County, CO",Adams County,1280,274,21.4
08001008565,"Census Tract 85.65, Adams County, CO",Adams County,7224,758,10.5
08001008603,"Census Tract 86.03, Adams County, CO",Adams County,1986,214,10.8
08001008604,"Census Tract 86.04, Adams County, CO",Adams County,4890,463,9.5
08001008605,"Census Tract 86.05, Adams County, CO",Adams County,4098,789,19.3
08001008606,"Census Tract 86.06, Adams County, CO",Adams County,6236,788,12.6
08001008705,"Census Tract 87.05, Adams County, CO",Adams County,5548,449,8.1
08001008706,"Census Tract 87.06, Adams County, CO",Adams County,4929,609,12.4
08001008709,"Census Tract 87.09, Adams County, CO",Adams County,7393,895,12.1
08001008801,"Census Tract 88.01, Adams County, CO",Adams County,5402,370,6.8
08001008802,"Census Tract 88.02, Adams County, CO",Adams County,4311,277,6.4
08001008901,"Census Tract 89.01, Adams County, CO",Adams County,2660,355,13.3
08001009001,"Census Tract 90.01, Adams County, CO",Adams County,4989,629,12.6
08001009003,"Census Tract 90.03, Adams County, CO",Adams County,4344,507,11.7
08001009004,"Census Tract 90.04, Adams County, CO",Adams County,5533,260,4.7
08001009101,"Census Tract 91.01, Adams County, CO",Adams County,4414,432,9.8
08001009103,"Census Tract 91.03, Adams County, CO",Adams County,4561,219,4.8
08001009104,"Census Tract 91.04, Adams County, CO",Adams County,6753,589,8.7
08001009202,"Census Tract 92.02, Adams County, CO",Adams County,4625,495,10.7
08001009203,"Census Tract 92.03, Adams County, CO",Adams County,5109,237,4.6
08001009204,"Census Tract 92.04, Adams County, CO",Adams County,7343,775,10.6
08001009206,"Census Tract 92.06, Adams County, CO",Adams County,2583,398,15.4
08001009207,"Census Tract 92.07, Adams County, CO",Adams County,5007,373,7.4
08001009304,"Census Tract 93.04, Adams County, CO",Adams County,5513,704,12.8
08001009306,"Census Tract 93.06, Adams County, CO",Adams County,3963,674,17.0
08001009307,"Census Tract 93.07, Adams County, CO",Adams County,3649,432,11.8
08001009308,"Census Tract 93.08, Adams County, CO",Adams County,4489,454,10.1
08001009309,"Census Tract 93.09, Adams County, CO",Adams County,4323,554,12.8
08001009310,"Census Tract 93.10, Adams County, CO",Adams County,5985,492,8.2
08001009316,"Census Tract 93.16, Adams County, CO",Adams County,7317,1287,17.6
