GEO_ID,NAME,Total_Pop,Pop_Disabled
08059009856,Census Tract 98.56; Jefferson County; Colorado,2707,538
08059009857,Census Tract 98.57; Jefferson County; Colorado,2945,266
08059009858,Census Tract 98.58; Jefferson County; Colorado,3605,271
08059009901,Census Tract 99.01; Jefferson County; Colorado,3192,300
08059010001,Census Tract 100.01; Jefferson County; Colorado,3286,289
08059010100,Census Tract 101; Jefferson County; Colorado,4846,638
08059010205,Census Tract 102.05; Jefferson County; Colorado,2521,418
08059010206,Census Tract 102.06; Jefferson County; Colorado,4098,430
08059010208,Census Tract 102.08; Jefferson County; Colorado,5559,427
08059010209,Census Tract 102.09; Jefferson County; Colorado,7130,969
08059010210,Census Tract 102.10; Jefferson County; Colorado,3187,364
08059010211,Census Tract 102.11; Jefferson County; Colorado,2936,560
08059010212,Census Tract 102.12; Jefferson County; Colorado,4201,511
08059010213,Census Tract 102.13; Jefferson County; Colorado,4574,665
08059010303,Census Tract 103.03; Jefferson County; Colorado,5269,722
08059010304,Census Tract 103.04; Jefferson County; Colorado,2322,256
08059010305,Census Tract 103.05; Jefferson County; Colorado,3510,463
08059010306,Census Tract 103.06; Jefferson County; Colorado,2640,170
08059010307,Census Tract 103.07; Jefferson County; Colorado,4615,481
08059010308,Census Tract 103.08; Jefferson County; Colorado,7062,686
08059010402,Census Tract 104.02; Jefferson County; Colorado,5428,945
08059010403,Census Tract 104.03; Jefferson County; Colorado,5525,814
08059010405,Census Tract 104.05; Jefferson County; Colorado,2903,357
08059010406,Census Tract 104.06; Jefferson County; Colorado,2873,267
08059010502,Census Tract 105.02; Jefferson County; Colorado,5262,617
08059010503,Census Tract 105.03; Jefferson County; Colorado,4711,574
08059010504,Census Tract 105.04; Jefferson County; Colorado,3092,384
08059010603,Census Tract 106.03; Jefferson County; Colorado,3619,551
08059010604,Census Tract 106.04; Jefferson County; Colorado,2248,238
08059010701,Census Tract 107.01; Jefferson County; Colorado,4579,529
08059010702,Census Tract 107.02; Jefferson County; Colorado,5305,492
08059010801,Census Tract 108.01; Jefferson County; Colorado,2411,421
08059010901,Census Tract 109.01; Jefferson County; Colorado,5469,681
08059010902,Census Tract 109.02; Jefferson County; Colorado,2993,583
08059011000,Census Tract 110; Jefferson County; Colorado,5573,734
08059011101,Census Tract 111.01; Jefferson County; Colorado,3590,669
08059011102,Census Tract 111.02; Jefferson County; Colorado,2879,383
08059011202,Census Tract 112.02; Jefferson County; Colorado,5091,735
08059011300,Census Tract 113; Jefferson County; Colorado,3230,372
08059011401,Census Tract 114.01; Jefferson County; Colorado,2533,463
08059011402,Census Tract 114.02; Jefferson County; Colorado,3970,748
08059011551,Census Tract 115.51; Jefferson County; Colorado,4043,595
08059011552,Census Tract 115.52; Jefferson County; Colorado,3171,461
08059011601,Census Tract 116.01; Jefferson County; Colorado,4068,330
08059011602,Census Tract 116.02; Jefferson County; Colorado,4012,399
08059011701,Census Tract 117.01; Jefferson County; Colorado,4591,635
08059011702,Census Tract 117.02; Jefferson County; Colorado,5359,714
08059011708,Census Tract 117.08; Jefferson County; Colorado,3806,432
08059011709,Census Tract 117.09; Jefferson County; Colorado,3297,196
08059011710,Census Tract 117.10; Jefferson County; Colorado,3939,808
08059011711,Census Tract 117.11; Jefferson County; Colorado,4086,411
08059011712,Census Tract 117.12; Jefferson County; Colorado,4139,432
08059011720,Census Tract 117.20; Jefferson County; Colorado,5212,203
08059011721,Census Tract 117.21; Jefferson County; Colorado,3146,341
08059011723,Census Tract 117.23; Jefferson County; Colorado,3487,471
08059011724,Census Tract 117.24; Jefferson County; Colorado,8052,450
08059011725,Census Tract 117.25; Jefferson County; Colorado,1821,259
08059011726,Census Tract 117.26; Jefferson County; Colorado,5424,771
08059011727,Census Tract 117.27; Jefferson County; Colorado,3818,501
08059011728,Census Tract 117.28; Jefferson County; Colorado,2647,337
08059011729,Census Tract 117.29; Jefferson County; Colorado,4173,472
08059011730,Census Tract 117.30; Jefferson County; Colorado,3322,403
08059011731,Census Tract 117.31; Jefferson County; Colorado,4205,490
08059011732,Census Tract 117.32; Jefferson County; Colorado,5002,608
08059011733,Census Tract 117.33; Jefferson County; Colorado,2330,385
08059011803,Census Tract 118.03; Jefferson County; Colorado,6285,827
08059011804,Census Tract 118.04; Jefferson County; Colorado,4172,424
08059011806,Census Tract 118.06; Jefferson County; Colorado,4866,898
08059011807,Census Tract 118.07; Jefferson County; Colorado,2548,302
08059011808,Census Tract 118.08; Jefferson County; Colorado,2409,152
08059011904,Census Tract 119.04; Jefferson County; Colorado,3102,489
08059011951,Census Tract 119.51; Jefferson County; Colorado,4084,462
08059012022,Census Tract 120.22; Jefferson County; Colorado,5571,521
08059012023,Census Tract 120.23; Jefferson County; Colorado,3002,358
08059012024,Census Tract 120.24; Jefferson County; Colorado,5638,683
08059012026,Census Tract 120.26; Jefferson County; Colorado,3273,295
08059012027,Census Tract 120.27; Jefferson County; Colorado,2792,169
08059012030,Census Tract 120.30; Jefferson County; Colorado,3835,337
08059012031,Census Tract 120.31; Jefferson County; Colorado,3249,298
08059012032,Census Tract 120.32; Jefferson County; Colorado,2603,185
08059012033,Census Tract 120.33; Jefferson County; Colorado,3017,359
08059012034,Census Tract 120.34; Jefferson County; Colorado,4017,203
08059012035,Census Tract 120.35; Jefferson County; Colorado,5038,219
08059012036,Census Tract 120.36; Jefferson County; Colorado,3153,265
08059012037,Census Tract 120.37; Jefferson County; Colorado,3721,783
08059012038,Census Tract 120.38; Jefferson County; Colorado,3425,320
08059012039,Census Tract 120.39; Jefferson County; Colorado,5227,563
08059012041,Census Tract 120.41; Jefferson County; Colorado,5244,584
