GEO_ID,Tract_Name,County,Total_Pop,White_NonHispanic,Black_NonHispanic,Asian_NonHispanic,Hispanic,Pct_White_NonHisp,Pct_Black,Pct_Asian,Pct_Hispanic
08059010212,"Census Tract 102.12, Jefferson County, CO",Jefferson County,4268,2917,12,12,1070,68.3,0.3,0.3,25.1
08059010213,"Census Tract 102.13, Jefferson County, CO",Jefferson County,4628,3078,109,84,1041,66.5,2.4,1.8,22.5
08059010303,"Census Tract 103.03, Jefferson County, CO",Jefferson County,5285,4471,238,97,306,84.6,4.5,1.8,5.8
08059010304,"Census Tract 103.04, Jefferson County, CO",Jefferson County,2329,2002,0,36,199,86.0,0.0,1.5,8.5
08059010305,"Census Tract 103.05, Jefferson County, CO",Jefferson County,3516,2700,113,0,608,76.8,3.2,0.0,17.3
08059010306,"Census Tract 103.06, Jefferson County, CO",Jefferson County,2640,1988,2,46,510,75.3,0.1,1.7,19.3
08059010307,"Census Tract 103.07, Jefferson County, CO",Jefferson County,4615,3468,25,40,860,75.1,0.5,0.9,18.6
08059010308,"Census Tract 103.08, Jefferson County, CO",Jefferson County,7081,5411,68,186,1018,76.4,1.0,2.6,14.4
08059010402,"Census Tract 104.02, Jefferson County, CO",Jefferson County,5611,3649,57,106,1637,65.0,1.0,1.9,29.2
08059010403,"Census Tract 104.03, Jefferson County, CO",Jefferson County,5525,3234,545,72,1447,58.5,9.9,1.3,26.2
08059010405,"Census Tract 104.05, Jefferson County, CO",Jefferson County,2903,2007,0,123,494,69.1,0.0,4.2,17.0
08059010406,"Census Tract 104.06, Jefferson County, CO",Jefferson County,2884,1655,0,26,1123,57.4,0.0,0.9,38.9
08059010502,"Census Tract 105.02, Jefferson County, CO",Jefferson County,5310,3963,329,51,729,74.6,6.2,1.0,13.7
08059010503,"Census Tract 105.03, Jefferson County, CO",Jefferson County,4728,3743,41,32,809,79.2,0.9,0.7,17.1
08059010504,"Census Tract 105.04, Jefferson County, CO",Jefferson County,3092,2631,0,40,393,85.1,0.0,1.3,12.7
08059010603,"Census Tract 106.03, Jefferson County, CO",Jefferson County,3693,2852,45,0,672,77.2,1.2,0.0,18.2
08059010604,"Census Tract 106.04, Jefferson County, CO",Jefferson County,2260,1531,0,132,485,67.7,0.0,5.8,21.5
08059010701,"Census Tract 107.01, Jefferson County, CO",Jefferson County,4652,3862,1,92,559,83.0,0.0,2.0,12.0
08059010702,"Census Tract 107.02, Jefferson County, CO",Jefferson County,5386,2881,0,22,2389,53.5,0.0,0.4,44.4
08059010801,"Census Tract 108.01, Jefferson County, CO",Jefferson County,2411,1935,9,29,181,80.3,0.4,1.2,7.5
08059010901,"Census Tract 109.01, Jefferson County, CO",Jefferson County,5479,3949,108,4,910,72.1,2.0,0.1,16.6
08059010902,"Census Tract 109.02, Jefferson County, CO",Jefferson County,3058,1814,96,78,964,59.3,3.1,2.6,31.5
08059011000,"Census Tract 110, Jefferson County, CO",Jefferson County,5821,4191,80,256,1171,72.0,1.4,4.4,20.1
08059011101,"Census Tract 111.01, Jefferson County, CO",Jefferson County,3649,2626,11,64,597,72.0,0.3,1.8,16.4
08059011102,"Census Tract 111.02, Jefferson County, CO",Jefferson County,2904,1518,71,29,1131,52.3,2.4,1.0,38.9
08059011202,"Census Tract 112.02, Jefferson County, CO",Jefferson County,5091,4043,27,93,817,79.4,0.5,1.8,16.0
08059011300,"Census Tract 113, Jefferson County, CO",Jefferson County,3230,2331,38,33,592,72.2,1.2,1.0,18.3
08059011401,"Census Tract 114.01, Jefferson County, CO",Jefferson County,2784,1493,38,72,970,53.6,1.4,2.6,34.8
08059011402,"Census Tract 114.02, Jefferson County, CO",Jefferson County,4164,2103,37,90,1683,50.5,0.9,2.2,40.4
08059011551,"Census Tract 115.51, Jefferson County, CO",Jefferson County,4055,2643,53,100,1102,65.2,1.3,2.5,27.2
08059011552,"Census Tract 115.52, Jefferson County, CO",Jefferson County,3277,1279,43,10,1671,39.0,1.3,0.3,51.0
08059011601,"Census Tract 116.01, Jefferson County, CO",Jefferson County,4257,1702,211,71,2187,40.0,5.0,1.7,51.4
08059011602,"Census Tract 116.02, Jefferson County, CO",Jefferson County,4017,2088,145,172,1410,52.0,3.6,4.3,35.1
08059011701,"Census Tract 117.01, Jefferson County, CO",Jefferson County,4601,3190,0,332,916,69.3,0.0,7.2,19.9
08059011702,"Census Tract 117.02, Jefferson County, CO",Jefferson County,5464,3756,0,249,1299,68.7,0.0,4.6,23.8
08059011708,"Census Tract 117.08, Jefferson County, CO",Jefferson County,3806,2970,0,39,598,78.0,0.0,1.0,15.7
08059011709,"Census Tract 117.09, Jefferson County, CO",Jefferson County,3297,2009,98,258,839,60.9,3.0,7.8,25.4
08059011710,"Census Tract 117.10, Jefferson County, CO",Jefferson County,3939,2717,0,106,946,69.0,0.0,2.7,24.0
08059011711,"Census Tract 117.11, Jefferson County, CO",Jefferson County,4155,3363,49,128,514,80.9,1.2,3.1,12.4
08059011712,"Census Tract 117.12, Jefferson County, CO",Jefferson County,4139,3325,33,122,450,80.3,0.8,2.9,10.9
08059011720,"Census Tract 117.20, Jefferson County, CO",Jefferson County,5212,4383,9,55,282,84.1,0.2,1.1,5.4
08059011721,"Census Tract 117.21, Jefferson County, CO",Jefferson County,3146,2342,18,218,344,74.4,0.6,6.9,10.9
08059011723,"Census Tract 117.23, Jefferson County, CO",Jefferson County,3561,2865,34,56,355,80.5,1.0,1.6,10.0
08059011724,"Census Tract 117.24, Jefferson County, CO",Jefferson County,8052,6648,16,518,700,82.6,0.2,6.4,8.7
08059011725,"Census Tract 117.25, Jefferson County, CO",Jefferson County,1821,1593,6,112,67,87.5,0.3,6.2,3.7
08059011726,"Census Tract 117.26, Jefferson County, CO",Jefferson County,5424,3853,61,182,923,71.0,1.1,3.4,17.0
08059011727,"Census Tract 117.27, Jefferson County, CO",Jefferson County,3818,3250,88,33,377,85.1,2.3,0.9,9.9
08059011728,"Census Tract 117.28, Jefferson County, CO",Jefferson County,2647,2004,0,40,575,75.7,0.0,1.5,21.7
08059011729,"Census Tract 117.29, Jefferson County, CO",Jefferson County,4173,2913,22,112,927,69.8,0.5,2.7,22.2
