GEO_ID,NAME,Median_Home_Value
08059011726,Census Tract 117.26; Jefferson County; Colorado,702700
08059011727,Census Tract 117.27; Jefferson County; Colorado,591400
08059011728,Census Tract 117.28; Jefferson County; Colorado,632600
08059011729,Census Tract 117.29; Jefferson County; Colorado,372900
08059011730,Census Tract 117.30; Jefferson County; Colorado,368800
08059011731,Census Tract 117.31; Jefferson County; Colorado,531300
08059011732,Census Tract 117.32; Jefferson County; Colorado,348300
08059011733,Census Tract 117.33; Jefferson County; Colorado,471000
08059011803,Census Tract 118.03; Jefferson County; Colorado,476300
08059011804,Census Tract 118.04; Jefferson County; Colorado,546000
08059011806,Census Tract 118.06; Jefferson County; Colorado,466800
08059011807,Census Tract 118.07; Jefferson County; Colorado,549000
08059011808,Census Tract 118.08; Jefferson County; Colorado,-666666666
08059011904,Census Tract 119.04; Jefferson County; Colorado,361900
08059011951,Census Tract 119.51; Jefferson County; Colorado,698400
08059012022,Census Tract 120.22; Jefferson County; Colorado,664100
08059012023,Census Tract 120.23; Jefferson County; Colorado,587000
08059012024,Census Tract 120.24; Jefferson County; Colorado,698300
08059012026,Census Tract 120.26; Jefferson County; Colorado,768100
08059012027,Census Tract 120.27; Jefferson County; Colorado,859500
08059012030,Census Tract 120.30; Jefferson County; Colorado,797700
08059012031,Census Tract 120.31; Jefferson County; Colorado,834200
08059012032,Census Tract 120.32; Jefferson County; Colorado,888600
08059012033,Census Tract 120.33; Jefferson County; Colorado,802400
08059012034,Census Tract 120.34; Jefferson County; Colorado,1166700
08059012035,Census Tract 120.35; Jefferson County; Colorado,1051200
08059012036,Census Tract 120.36; Jefferson County; Colorado,879100
08059012037,Census Tract 120.37; Jefferson County; Colorado,733100
08059012038,Census Tract 120.38; Jefferson County; Colorado,551700
08059012039,Census Tract 120.39; Jefferson County; Colorado,546600
08059012041,Census Tract 120.41; Jefferson County; Colorado,570500
08059012042,Census Tract 120.42; Jefferson County; Colorado,613500
08059012043,Census Tract 120.43; Jefferson County; Colorado,610800
08059012044,Census Tract 120.44; Jefferson County; Colorado,680500
08059012045,Census Tract 120.45; Jefferson County; Colorado,678600
08059012046,Census Tract 120.46; Jefferson County; Colorado,541000
08059012047,Census Tract 120.47; Jefferson County; Colorado,497400
08059012048,Census Tract 120.48; Jefferson County; Colorado,620500
08059012049,Census Tract 120.49; Jefferson County; Colorado,670700
08059012050,Census Tract 120.50; Jefferson County; Colorado,870100
08059012051,Census Tract 120.51; Jefferson County; Colorado,711900
08059012052,Census Tract 120.52; Jefferson County; Colorado,529900
08059012053,Census Tract 120.53; Jefferson County; Colorado,589900
08059012054,Census Tract 120.54; Jefferson County; Colorado,739800
08059012055,Census Tract 120.55; Jefferson County; Colorado,575100
08059012057,Census Tract 120.57; Jefferson County; Colorado,494200
08059012058,Census Tract 120.58; Jefferson County; Colorado,745400
08059012059,Census Tract 120.59; Jefferson County; Colorado,784800
08059012060,Census Tract 120.60; Jefferson County; Colorado,526000
08059015800,Census Tract 158; Jefferson County; Colorado,610700
08059015900,Census Tract 159; Jefferson County; Colorado,622700
08059060300,Census Tract 603; Jefferson County; Colorado,567300
08059060400,Census Tract 604; Jefferson County; Colorado,600300
08059060501,Census Tract 605.01; Jefferson County; Colorado,820400
08059980000,Census Tract 9800; Jefferson County; Colorado,-666666666
08059980400,Census Tract 9804; Jefferson County; Colorado,-666666666
08059980700,Census Tract 9807; Jefferson County; Colorado,-666666666
08059980800,Census Tract 9808; Jefferson County; Colorado,-666666666
