GEO_ID,NAME,Total_Pop,Total_Uninsured,Uninsured_Rate
08059012046,Census Tract 120.46; Jefferson County; Colorado,1944,79,4.1
08059012047,Census Tract 120.47; Jefferson County; Colorado,4312,208,4.8
08059012048,Census Tract 120.48; Jefferson County; Colorado,2079,6,0.3
08059012049,Census Tract 120.49; Jefferson County; Colorado,3511,50,1.4
08059012050,Census Tract 120.50; Jefferson County; Colorado,3901,57,1.5
08059012051,Census Tract 120.51; Jefferson County; Colorado,4025,122,3.0
08059012052,Census Tract 120.52; Jefferson County; Colorado,5672,224,3.9
08059012053,Census Tract 120.53; Jefferson County; Colorado,4397,134,3.0
08059012054,Census Tract 120.54; Jefferson County; Colorado,3798,154,4.1
08059012055,Census Tract 120.55; Jefferson County; Colorado,3685,65,1.8
08059012057,Census Tract 120.57; Jefferson County; Colorado,5981,191,3.2
08059012058,Census Tract 120.58; Jefferson County; Colorado,3840,255,6.6
08059012059,Census Tract 120.59; Jefferson County; Colorado,3551,107,3.0
08059012060,Census Tract 120.60; Jefferson County; Colorado,3154,155,4.9
08059015800,Census Tract 158; Jefferson County; Colorado,4130,221,5.4
08059015900,Census Tract 159; Jefferson County; Colorado,3524,152,4.3
08059060300,Census Tract 603; Jefferson County; Colorado,4145,157,3.8
08059060400,Census Tract 604; Jefferson County; Colorado,6129,149,2.4
08059060501,Census Tract 605.01; Jefferson County; Colorado,11135,388,3.5
08059980000,Census Tract 9800; Jefferson County; Colorado,0,0,
08059980400,Census Tract 9804; Jefferson County; Colorado,0,0,
08059980700,Census Tract 9807; Jefferson County; Colorado,0,0,
08059980800,Census Tract 9808; Jefferson County; Colorado,0,0,
